"","data_names","sample_names"
"1","1-HB-1b-RNA_web_0","1-HB-77y-1b"
"2","1-HB-2b-RNA_web_2","1-HB-77y-2b"
"3","2-HB-1b-RNA_web_0","2-HB-53y-1b"
"4","2-HB-2b-RNA_web_0","2-HB-53y-2b"
"5","3-HB-1-RNA_web_1","3-HB-25y-1"
"6","3-HB-2-RNA_web_1","3-HB-25y-2"
"7","4-HB-1-RNA_web_2","4-HB-31y-1"
"8","4-HB-2-RNA_web_1","4-HB-31y-2"
"9","5-HB-1-RNA_web_0","5-HB-3y-1"
"10","5-HB-2-RNA_web_0","5-HB-3y-2"
"11","6-HB-60y-1_web_0","6-HB-60y-1"
"12","6-HB-60y-2_web_0","6-HB-60y-2"
"13","7-HB-55y-1_web_0","7-HB-55y-1"
"14","7-HB-55y-2_web_0","7-HB-55y-2"
"15","8-HB-45y-1_web_0","8-HB-45y-1"
"16","8-HB-45y-2_web_0","8-HB-45y-2"
"17","9-HB-16y-1_web_0","9-HB-16y-1"
"18","9-HB-16y-2_web_0","9-HB-16y-2"
"19","10-HB-62y-1_web_0","10-HB-62y-1"
"20","10-HB-62y-2_web_0","10-HB-62y-2"
"21","11-HB-74y-1_web_0","11-HB-74y-1"
"22","11-HB-74y-2_web_0","11-HB-74y-2"
"23","12-HB-55y-1_web_0","12-HB-55y-1"
"24","12-HB-55y-2_web_0","12-HB-55y-2"
"25","2-AF-25y-1_web_0","2-AF-25y-1"
"26","2-AF-25y-2_web_0","2-AF-25y-2"
"27","2-AB-25y-1_web_0","2-AB-25y-1"
"28","2-AB-25y-2_web_0","2-AB-25y-2"
"29","2-AF-25y-1_web_1","2-AF-25y-1"
"30","2-AF-25y-2_web_2","2-AF-25y-2"
"31","2-AB-25y-1_web_1","2-AB-25y-1"
"32","2-AB-25y-2_web_2","2-AB-25y-2"
"33","13-HB-15y-M-1_web_0","13-HB-15y-M-1"
"34","14-HB-15y-M-1_web_0","14-HB-15y-M-1"
"35","14-HB-15y-M-2_web_0","14-HB-15y-M-2"
"36","15-HB-47y-M-1_web_0","15-HB-47y-M-1"
"37","15-HB-47y-M-2_web_0","15-HB-47y-M-2"
"38","16-HB-67y-M-1_web_0","16-HB-67y-M-1"
"39","16-HB-67y-M-2_web_0","16-HB-67y-M-2"
"40","17-HB-66y-M-1_web_0","17-HB-66y-M-1"
"41","17-HB-66y-M-2_web_0","17-HB-66y-M-2"
"42","18-HB-27y-M-1_web_0","18-HB-27y-M-1"
"43","19-HB-12y-M-1_web_0","19-HB-12y-M-1"
"44","19-HB-12y-M-2_web_0","19-HB-12y-M-2"
"45","3-AB-29y-M-1_web_0","3-AB-29y-M-1"
"46","3-AB-29y-M-2_web_0","3-AB-29y-M-2"
"47","3-AF-29y-M-1_web_0","3-AF-29y-M-1"
"48","3-AF-29y-M-2_web_0","3-AF-29y-M-2"
"49","4-AB-56y-M-1_web_0","4-AB-56y-M-1"
"50","4-AF-56y-M-1_web_0","4-AF-56y-M-1"
"51","4-AF-56y-M-2_web_0","4-AF-56y-M-2"
"52","4-AB-56y-M-2_web_2","4-AB-56y-M-2"
"53","7-AB-27y-1_web_0","7-AB-27y-1"
"54","7-AB-27y-2_web_0","7-AB-27y-2"
"55","7-AF-27y-1_web_0","7-AF-27y-1"
"56","7-AF-27y-2_web_0","7-AF-27y-2"
"57","20-HB-31y-M-1_web_0","20-HB-31y-M-1"
"58","20-HB-31y-M-2_web_0","20-HB-31y-M-2"
"59","21-HB-20y-M-1_web_0","21-HB-20y-M-1"
"60","21-HB-20y-M-2_web_0","21-HB-20y-M-2"
"61","22-HB-16y-M-1_web_0","22-HB-16y-M-1"
"62","22-HB-16y-M-2_web_0","22-HB-16y-M-2"
